,stateid,statename,cityid,cityname,suburbid,suburbname,geo_point
0,1,NSW,17040,Snowy Monaro Regional,10015,Adaminaby,"-36.01193158762528, 148.786320441595"
1,1,NSW,10050,Albury,10027,Albury,"-36.07369799464406, 146.91346780765934"
2,1,NSW,16200,Parkes,10029,Alectown,"-32.91425516102453, 148.26802074020546"
3,1,NSW,18350,Wingecarribee,10044,Alpine,"-34.40869358826243, 150.53677066431447"
4,1,NSW,15560,Murrumbidgee,10081,Argoon,"-34.91797895821861, 145.6572484339588"
5,1,NSW,10300,"Balranald, Central Darling, Wentworth",10093,Arumpo,"-33.61913168767607, 143.06916606866113"
6,1,NSW,16380,Port Macquarie-Hastings,10171,Banda Banda,"-31.194738034790138, 152.45286391858434"
7,1,NSW,17640,Upper Lachlan Shire,10183,Bannaby,"-34.40979821062745, 149.9949258415723"
8,1,NSW,11650,Central Coast,10189,Bar Point,"-33.49167114135809, 151.17441058810465"
9,1,NSW,13910,Hilltops,10254,Beggan Beggan,"-34.65555946719572, 148.28513083190867"
10,1,NSW,15050,Maitland,10324,Berry Park,"-32.74383041105676, 151.6574718553271"
11,1,NSW,17640,Upper Lachlan Shire,10335,Biala,"-34.595825664579216, 149.26054807608702"
12,1,NSW,15240,Mid-Coast,10363,Bindera,"-32.02599029985981, 151.81823584117245"
13,1,NSW,10800,"Bland, Carrathool, Griffith, Leeton, Narrandera",10372,Binya,"-34.14319451569004, 146.33941563908178"
14,1,NSW,15270,Mid-Western Regional,10377,Birriwa,"-32.123633211733726, 149.47895438698743"
15,1,NSW,14920,Liverpool Plains,10397,Blackville,"-31.629968097103884, 150.25279865506275"
16,1,NSW,15240,Mid-Coast,10419,Blueys Beach,"-32.35031772642125, 152.5298070178508"
17,1,NSW,11400,Cabonne,10432,Bocobra,"-33.10172826955712, 148.53618835513836"
18,1,NSW,17080,Snowy Valleys,10442,Bogong Peaks Wilderness,"-35.52309275112749, 148.38381676009703"
19,1,NSW,15900,Newcastle,10575,Broadmeadow,"-32.924989170549246, 151.73378962817472"
20,1,NSW,19399,Unincorporated NSW,10601,Broughams Gate,"-30.888453538551527, 141.2506616351251"
21,1,NSW,14550,Kyogle,10613,Brumby Plains,"-28.463269657941233, 152.65537262615868"
22,1,NSW,12750,"Eurobodalla, Queanbeyan-Palerang Regional, Shoalhaven",10633,Budawang,"-35.40064066042991, 150.0492204914189"
23,1,NSW,15240,Mid-Coast,10706,Burrell Creek,"-31.9482694254887, 152.30040799286917"
24,1,NSW,15850,Narromine,10712,Burroway,"-32.05865837039361, 148.32626702789148"
25,1,NSW,12850,Fairfield,10739,Cabramatta West,"-33.892382987278175, 150.91361878452247"
26,1,NSW,14170,"Inner West, Sydney",10780,Camperdown (NSW),"-33.88843164836376, 151.18195178060378"
27,1,NSW,14650,Lake Macquarie,10809,Cardiff Heights,"-32.93268150285602, 151.67246890247426"
28,1,NSW,17200,Sydney,10906,Chippendale,"-33.88634510701653, 151.19954853453106"
29,1,NSW,12750,Eurobodalla,11008,Congo,"-35.9568935659713, 150.13469801005644"
30,1,NSW,10950,"Bogan, Brewarrina, Cobar",11021,Coolabah,"-30.983861872759114, 146.686389396677"
31,1,NSW,11350,Byron,11051,Coorabell,"-28.631976961440365, 153.4900935614819"
32,1,NSW,14850,"Lismore, Richmond Valley",11063,Coraki,"-28.989538458677462, 153.27390899444364"
33,1,NSW,15270,Mid-Western Regional,11100,Coxs Creek,"-32.732416500521346, 150.12237057076393"
34,1,NSW,13660,Gwydir,11121,Crooble,"-29.2992185013265, 150.27952250527701"
35,1,NSW,15950,North Sydney,11132,Crows Nest (NSW),"-33.82574548134614, 151.20374056504943"
36,1,NSW,12160,Cootamundra-Gundagai Regional,11205,Darbalara,"-35.05996098909432, 148.23766678064442"
37,1,NSW,12390,Dubbo Regional,11295,Dripstone,"-32.63882489345969, 149.0218244018661"
38,1,NSW,12750,"Eurobodalla, Shoalhaven",11362,East Lynne,"-35.58829388511519, 150.2788927649789"
39,1,NSW,16700,Ryde,11364,East Ryde,"-33.81005326207215, 151.13591040154483"
40,1,NSW,16260,Parramatta,11438,Ermington,"-33.811524464195834, 151.06009105529876"
41,1,NSW,12390,Dubbo Regional,11455,Euchareena,"-32.94367741679681, 149.1187313803214"
42,1,NSW,12750,Eurobodalla,11466,Eurobodalla,"-36.16815257499258, 149.95902650482842"
43,1,NSW,14550,Kyogle,11501,Fawcetts Plain,"-28.566282652112896, 153.01251030234752"
44,1,NSW,16400,Port Stephens,11515,Ferodale,"-32.710108485563936, 151.84118744232163"
45,1,NSW,10850,Blayney,11550,Forest Reefs,"-33.46445303729769, 149.07822834852095"
46,1,NSW,15270,Mid-Western Regional,11573,Frog Rock,"-32.468975691543214, 149.68122273910686"
47,1,NSW,15900,Newcastle,11607,Georgetown (NSW),"-32.90928402465485, 151.73138504059892"
48,1,NSW,14400,Kiama,11610,Gerringong,"-34.73898729574478, 150.82503672793965"
49,1,NSW,17550,Tweed,11670,Glengarrie,"-28.23200640744341, 153.39946436420405"
50,1,NSW,17080,Snowy Valleys,11694,Gocup,"-35.24593228969645, 148.18705446075714"
51,1,NSW,15990,Northern Beaches,11751,Great Mackerel Beach,"-33.59080979560419, 151.29972501732365"
52,1,NSW,10550,Bega Valley,11764,Greendale (Bega Valley - NSW),"-36.584517359229025, 149.86149563894222"
53,1,NSW,12850,Fairfield,11767,Greenfield Park,"-33.87463669527929, 150.89198227980873"
54,1,NSW,11150,Bourke,11804,Gumbalie,"-30.114740382865858, 145.20794337813098"
55,1,NSW,15900,Newcastle,11846,Hamilton East,"-32.92745427429483, 151.75464680849515"
56,1,NSW,13850,Hay,11881,Hay (NSW),"-34.384210159694774, 144.84274342655166"
57,1,NSW,16400,Port Stephens,11923,Hinton,"-32.72204973920516, 151.6664512127828"
58,1,NSW,11650,Central Coast,11928,Holgate,"-33.40478315373175, 151.40495657990814"
59,1,NSW,15700,Nambucca Valley,11976,Hyland Park,"-30.612137976452782, 153.0006097995371"
60,1,NSW,14300,Junee,11980,Illabo,"-34.827931851279395, 147.7509802290201"
61,1,NSW,15990,Northern Beaches,11988,Ingleside,"-33.69248135799203, 151.2577714014135"
62,1,NSW,16100,Oberon,12012,Jaunter,"-33.98549117985818, 149.91609764917095"
63,1,NSW,16490,Queanbeyan-Palerang Regional,12025,Jerrabomberra,"-35.38332452526625, 149.2012411551255"
64,1,NSW,11730,Clarence Valley,12053,Junction Hill,"-29.637222673143068, 152.93035600151543"
65,1,NSW,16100,Oberon,12064,Kanangra,"-33.98864258414838, 150.08844069032406"
66,1,NSW,16950,Shoalhaven,12069,Kangaroo Valley,"-34.73444205842573, 150.47822979209718"
67,1,NSW,11720,Cessnock,12092,Keinbah,"-32.75461559232418, 151.4074981966019"
68,1,NSW,18450,Wollongong,12093,Keiraville,"-34.409317762381896, 150.87274014582775"
69,1,NSW,10500,Bayside,12234,Kyeemagh,"-33.949015777497976, 151.16053872396571"
70,1,NSW,12930,Georges River,12235,Kyle Bay,"-33.98924954230512, 151.09998056262873"
71,1,NSW,17640,Upper Lachlan Shire,12240,Lade Vale,"-34.850144137405955, 149.15774926570154"
72,1,NSW,18400,Wollondilly,12267,Lakesland,"-34.18490038750064, 150.49570204814475"
73,1,NSW,10050,Albury,12296,Lavington,"-36.03484194385252, 146.9345668039966"
74,1,NSW,10900,Blue Mountains,12298,Lawson (NSW),"-33.719792867909746, 150.43409458390312"
75,1,NSW,16950,Shoalhaven,12393,Longreach (NSW),"-34.87078679283108, 150.52784490482776"
76,1,NSW,15050,Maitland,12404,Louth Park,"-32.770784618576634, 151.54828683250895"
77,1,NSW,12930,Georges River,12430,Lugarno,"-33.982525146735014, 151.04515675825263"
78,1,NSW,12730,"Edward River, Murrumbidgee",12437,Mabins Well,"-34.90693670843448, 145.5255920704488"
79,1,NSW,11650,Central Coast,12450,Magenta (NSW),"-33.30052022281516, 151.53408197001377"
80,1,NSW,16400,Port Stephens,12465,Mallabula,"-32.733413653892896, 152.0135716006495"
81,1,NSW,16490,Queanbeyan-Palerang Regional,12472,Manar,"-35.26931680269, 149.6781731025525"
82,1,NSW,16490,Queanbeyan-Palerang Regional,12507,Marlowe,"-35.27064433874884, 149.88011986702102"
83,1,NSW,16380,Port Macquarie-Hastings,12612,Middle Brother,"-31.690078827172684, 152.7102330478071"
84,1,NSW,18250,Willoughby,12613,Middle Cove,"-33.792919777531665, 151.21247936504923"
85,1,NSW,16950,Shoalhaven,12681,Mollymook Beach,"-35.327710798492724, 150.4695237284255"
86,1,NSW,10500,Bayside,12697,Monterey,"-33.9722491197337, 151.14772631172903"
87,1,NSW,10850,Blayney,12724,Moorilda,"-33.62740940971085, 149.32657130464588"
88,1,NSW,10550,Bega Valley,12732,Morans Crossing,"-36.66660370838765, 149.65229457880977"
89,1,NSW,12870,"Federation, Murrumbidgee, Narrandera",12744,Morundah,"-35.00848985727202, 146.22733276202194"
90,1,NSW,16490,Queanbeyan-Palerang Regional,12769,Mount Fairy,"-35.188280337687075, 149.60718036214047"
91,1,NSW,13010,Glen Innes Severn,12789,Mount Mitchell,"-29.944069905568167, 151.84125422242292"
92,1,NSW,13550,Gunnedah,12831,Mullaley,"-31.15017879050096, 149.9110877669745"
93,1,NSW,13660,"Gwydir, Inverell",12882,Myall Creek,"-29.781946498606782, 150.73716206536028"
94,1,NSW,12750,Eurobodalla,12894,Mystery Bay,"-36.310274452598755, 150.1261729896461"
95,1,NSW,11450,Camden,12906,Narellan,"-34.04284745393004, 150.73221392049626"
96,1,NSW,11350,Byron,12948,New Brighton,"-28.520171320949455, 153.55005523271495"
97,1,NSW,10600,Bellingen,12999,North Dorrigo,"-30.267065867508485, 152.6808776560391"
98,1,NSW,17040,Snowy Monaro Regional,13050,Numeralla,"-36.18353039553241, 149.35483765023568"
99,1,NSW,17000,Singleton,13077,Obanvale,"-32.51455676932201, 151.15970007469372"
100,1,NSW,10750,Blacktown,13164,Parklea,"-33.72511211655299, 150.91640938391626"
101,1,NSW,13800,Hawkesbury,13200,Perrys Crossing,"-33.16399506990872, 150.9783600456632"
102,1,NSW,11730,Clarence Valley,13216,Pillar Valley,"-29.701621920032284, 153.161946278665"
103,1,NSW,17080,Snowy Valleys,13218,Pilot Wilderness,"-36.67808490809655, 148.2085871797523"
104,1,NSW,16380,Port Macquarie-Hastings,13258,Port Macquarie,"-31.455196032213383, 152.8935956316773"
105,1,NSW,17350,Temora,13357,Reefton (NSW),"-34.22813787762949, 147.39563412325302"
106,1,NSW,15270,Mid-Western Regional,13381,Riverlea,"-32.684405297486265, 149.7369334277093"
107,1,NSW,17000,Singleton,13387,Rixs Creek,"-32.521350182592315, 151.13439656274466"
108,1,NSW,16400,Port Stephens,13482,Salt Ash,"-32.790296949672395, 151.91858557013083"
109,1,NSW,11450,Camden,13573,Smeaton Grange,"-34.03710957887838, 150.75761045258574"
110,1,NSW,10470,"Bathurst Regional, Mid-Western Regional",13585,Sofala,"-33.06318266773595, 149.6963434698304"
111,1,NSW,11730,Clarence Valley,13620,Southgate,"-29.60260191927027, 153.00555749973145"
112,1,NSW,18450,Wollongong,13632,Spring Hill (Wollongong - NSW),"-34.452571612951395, 150.86955141614854"
113,1,NSW,11720,Cessnock,13662,Stanford Merthyr,"-32.824757446389484, 151.49360015183274"
114,1,NSW,18450,Wollongong,13669,Stanwell Tops,"-34.22021825002846, 150.97427696278058"
115,1,NSW,16610,Richmond Valley,13720,Swan Bay (Richmond Valley - NSW),"-29.077810003734196, 153.29256239043292"
116,1,NSW,17150,Sutherland Shire,13733,Sylvania Waters,"-34.01857415985036, 151.11168617001786"
117,1,NSW,12700,Dungog,13734,Tabbil Creek,"-32.422465022143726, 151.73235962297267"
118,1,NSW,13310,"Goulburn Mulwaree, Upper Lachlan Shire",13782,Tarlo,"-34.63206163658116, 149.81516910097315"
119,1,NSW,17750,Wagga Wagga,13790,Tatton,"-35.159939970024595, 147.35866597668243"
120,1,NSW,14220,Inverell,13828,The Basin (NSW),"-30.1718001008009, 151.27500531483022"
121,1,NSW,18400,Wollondilly,13847,The Oaks,"-34.088679461589734, 150.56344148973272"
122,1,NSW,11730,Clarence Valley,13857,The Sandon,"-29.665150908673798, 153.29458465745626"
123,1,NSW,13800,Hawkesbury,13858,The Slopes,"-33.532329879725765, 150.7057535366666"
124,1,NSW,16400,Port Stephens,13907,Tomago,"-32.82081422713358, 151.73796496379504"
125,1,NSW,12750,Eurobodalla,13908,Tomakin,"-35.822070409434474, 150.18900632329442"
126,1,NSW,18200,Wentworth,13954,Trentham Cliffs,"-34.231444767692786, 142.25376538547047"
127,1,NSW,16200,Parkes,13958,Trundle,"-32.87114828011187, 147.71068323710105"
128,1,NSW,17640,Upper Lachlan Shire,13967,Tuena,"-34.04320731188584, 149.31799461491127"
129,1,NSW,16610,Richmond Valley,14056,Upper Mongogarie,"-28.96657200116845, 152.8029344695717"
130,1,NSW,17400,Tenterfield,14064,Upper Tooloom,"-28.562379541073835, 152.3732710400598"
131,1,NSW,15520,Murray River,14108,Wakool,"-35.4652754112381, 144.35425402682677"
132,1,NSW,17850,Walcha,14111,Walcha,"-31.050531132739145, 151.73316845589136"
133,1,NSW,11600,Carrathool,14126,Wallanthery,"-33.24076121949219, 145.89192785794103"
134,1,NSW,17040,Snowy Monaro Regional,14143,Wambrook,"-36.18081525358684, 148.97722491278398"
135,1,NSW,13450,Griffith,14161,Warburn,"-34.17061978522085, 145.92205665820885"
136,1,NSW,11730,Clarence Valley,14203,Waterview,"-29.686648487709952, 152.90293017533384"
137,1,NSW,14500,Ku-ring-gai,14267,West Pymble,"-33.76425653138966, 151.12999049405468"
138,1,NSW,15240,Mid-Coast,14298,Whoota,"-32.31511005617584, 152.48085859092723"
139,1,NSW,18350,Wingecarribee,14309,Wildes Meadow,"-34.635292151003625, 150.52141355188277"
140,1,NSW,17080,Snowy Valleys,14317,Willigobung,"-35.65560257636349, 148.03790728868768"
141,1,NSW,11350,Byron,14328,Wilsons Creek,"-28.568740445375067, 153.43186897075904"
142,1,NSW,16610,Richmond Valley,14415,Woodview,"-28.847204710340318, 152.93983050968063"
143,1,NSW,17150,Sutherland Shire,14438,Woronora,"-34.02524164690046, 151.04157071379743"
144,1,NSW,13340,Greater Hume Shire,14460,Wymah,"-35.993979837886684, 147.2614721016967"
145,1,NSW,14950,Lockhart,14526,Yerong Creek,"-35.38864227820753, 147.06420916408484"
146,1,NSW,10550,"Bega Valley, Eurobodalla",14538,Yowrie,"-36.31488185018929, 149.74455373062747"
147,2,Vic,20830,Baw Baw,20024,Allambee,"-38.29284055404368, 146.0216966455927"
148,2,Vic,22830,Greater Shepparton,20063,Ardmona,"-36.380130006997454, 145.30108870241452"
149,2,Vic,23940,Loddon,20069,Arnold (Vic.),"-36.67519786484371, 143.85951947097112"
150,2,Vic,25990,Pyrenees,20142,Barkly (Vic.),"-36.944447131228536, 143.2178729701666"
151,2,Vic,25340,Mornington Peninsula,20169,Baxter,"-38.20088757278191, 145.156779459725"
152,2,Vic,22250,"Gannawarra, Swan Hill",20180,Beauchamp,"-35.62576774700066, 143.62504979352343"
153,2,Vic,22750,Greater Geelong,20193,Bellarine,"-38.13614752957329, 144.62169969041594"
154,2,Vic,26980,Whitehorse,20252,Blackburn,"-37.82167039870826, 145.15220159060186"
155,2,Vic,26260,Southern Grampians,20264,Bochara,"-37.68744555346991, 141.90893296763466"
156,2,Vic,21010,"Benalla, Strathbogie",20267,Boho South,"-36.77231079266263, 145.8164558470785"
157,2,Vic,24900,Moira,20292,Boomahnoomoonah,"-36.124141198181704, 146.0990959516102"
158,2,Vic,23270,Hume,20346,Broadmeadows (Vic.),"-37.68318606801113, 144.93177313499694"
159,2,Vic,20830,Baw Baw,20390,Buln Buln,"-38.094852226689454, 145.95313765202462"
160,2,Vic,20830,Baw Baw,20391,Buln Buln East,"-38.072295419347306, 146.01136654077737"
161,2,Vic,23940,Loddon,20415,Burkes Flat,"-36.639658217221054, 143.5604650233482"
162,2,Vic,22620,Greater Bendigo,20444,California Gully,"-36.7289156176143, 144.26028812117107"
163,2,Vic,22750,Greater Geelong,20527,Ceres,"-38.16461473797817, 144.27280042536069"
164,2,Vic,23430,Kingston,20570,Clayton South,"-37.943064287758084, 145.1252142306961"
165,2,Vic,20570,Ballarat,20730,Delacombe,"-37.58088801833034, 143.8159988961649"
166,2,Vic,22110,East Gippsland,20739,Deptford,"-37.566178833860484, 147.6884297652787"
167,2,Vic,25620,Murrindindi,20747,Devils River,"-37.173474907267206, 145.83589508732774"
168,2,Vic,25710,Nillumbik,20752,Diamond Creek,"-37.66789634742857, 145.15669465924947"
169,2,Vic,23940,Loddon,20757,Dingee,"-36.3651689345974, 144.21256971883787"
170,2,Vic,22110,East Gippsland,20767,Doctors Flat,"-37.308652202633006, 147.73422551169995"
171,2,Vic,21670,"Central Goldfields, Hepburn",20807,Dunach,"-37.222023435464656, 143.73113965908112"
172,2,Vic,22110,East Gippsland,20827,East Bairnsdale,"-37.854995803279394, 147.6766992941311"
173,2,Vic,20260,"Ararat, Pyrenees",20861,Elmhurst,"-37.17530527911416, 143.25849852048705"
174,2,Vic,24850,"Mitchell, Murrindindi",20932,Flowerdale (Vic.),"-37.33181257969438, 145.30245921469853"
175,2,Vic,22750,Greater Geelong,20974,Geelong West,"-38.13932121419326, 144.3449409908072"
176,2,Vic,23940,Loddon,21017,Glenalbyn,"-36.48782103068642, 143.72356688930756"
177,2,Vic,26260,Southern Grampians,21031,Glenisla,"-37.24621956111273, 142.22400254777682"
178,2,Vic,26890,West Wimmera,21075,Goroke,"-36.67135755042086, 141.48901419536475"
179,2,Vic,26170,South Gippsland,21128,Hallston,"-38.363648944623705, 146.03667358967408"
180,2,Vic,24780,Mildura,21146,Hattah,"-34.71996166750964, 142.3313936474206"
181,2,Vic,24850,Mitchell,21162,Heathcote South,"-37.011163548091716, 144.71116354774387"
182,2,Vic,26170,"South Gippsland, Wellington",21166,Hedley,"-38.654934068407776, 146.54228974155225"
183,2,Vic,23810,Latrobe,21175,Hernes Oak,"-38.22177464456959, 146.3135635959333"
184,2,Vic,25620,Murrindindi,21200,Homewood,"-37.20148103761484, 145.31124108969465"
185,2,Vic,24250,Mansfield,21211,Howqua,"-37.242649244714364, 146.19337231510647"
186,2,Vic,21750,Colac Otway,21244,Irrewillipe East,"-38.43076253303349, 143.48504634861652"
187,2,Vic,20660,Banyule,21246,Ivanhoe (Vic.),"-37.76786383965436, 145.0435804202166"
188,2,Vic,26490,Surf Coast,21254,Jan Juc,"-38.34455545275675, 144.2950804176684"
189,2,Vic,22620,Greater Bendigo,21326,Kennington,"-36.7712125093181, 144.30299728282233"
190,2,Vic,24250,Mansfield,21335,Kevington,"-37.360173707341005, 146.1693989332379"
191,2,Vic,22980,Hindmarsh,21343,Kiata,"-36.35747693947173, 141.78283660282756"
192,2,Vic,25620,Murrindindi,21359,Kinglake Central,"-37.47082455329482, 145.32051283342344"
193,2,Vic,24900,Moira,21403,Kotupna,"-36.13515547460066, 145.1117462063706"
194,2,Vic,26610,Swan Hill,21407,Kunat,"-35.514036190619166, 143.53784599957245"
195,2,Vic,22750,"Greater Geelong, Wyndham",21520,Little River (Vic.),"-37.93199905504136, 144.466873632058"
196,2,Vic,20660,Banyule,21547,Lower Plenty,"-37.73885516253976, 145.11615081078853"
197,2,Vic,21610,Casey,21554,Lynbrook,"-38.056007661143816, 145.2562521915934"
198,2,Vic,24250,Mansfield,21579,Maindample,"-37.025520573609754, 145.95859135094136"
199,2,Vic,24330,Maribyrnong,21604,Maribyrnong,"-37.77273305985366, 144.887727615"
200,2,Vic,22310,Glen Eira,21629,McKinnon,"-37.91063393768596, 145.03837287618325"
201,2,Vic,26700,Wangaratta,21634,Meadow Creek,"-36.602504480680544, 146.45350019277078"
202,2,Vic,26810,Wellington,21699,Miowera,"-37.4711172154097, 147.0748442903947"
203,2,Vic,20830,"Baw Baw, Latrobe",21716,Moe,"-38.1786134161229, 146.25031181479196"
204,2,Vic,26490,Surf Coast,21718,Moggs Creek,"-38.46315514162929, 144.06299398280223"
205,2,Vic,27450,Yarra Ranges,21727,Monbulk,"-37.87388727744234, 145.4277006188025"
206,2,Vic,26980,Whitehorse,21733,Mont Albert North,"-37.8033877257617, 145.11075817152363"
207,2,Vic,20660,Banyule,21735,Montmorency,"-37.7190570447193, 145.12510470371294"
208,2,Vic,22830,Greater Shepparton,21832,Murchison (Vic.),"-36.62546073874067, 145.17950714974052"
209,2,Vic,22620,"Greater Bendigo, Mount Alexander",21861,Myrtle Creek (Vic.),"-36.93641045017376, 144.40595748777287"
210,2,Vic,21370,Campaspe,21875,Nanneella,"-36.34475816425173, 144.79610093173605"
211,2,Vic,20570,Ballarat,21929,Newington (Vic.),"-37.564035646517105, 143.82758495091505"
212,2,Vic,25250,Moreland,22042,Pascoe Vale South,"-37.743164860201375, 144.93848084563544"
213,2,Vic,23430,Kingston,22047,Patterson Lakes,"-38.069324429600336, 145.14328092228627"
214,2,Vic,22490,Golden Plains,22082,Pitfield,"-37.826292240502355, 143.59612402199687"
215,2,Vic,25490,Moyne,22126,Purdeet,"-37.938369163597464, 142.40157642136194"
216,2,Vic,22110,East Gippsland,22157,Reedy Flat,"-37.40292036046796, 147.9469090784978"
217,2,Vic,21370,Campaspe,22202,Roslynmead,"-36.134571810157205, 144.529442697726"
218,2,Vic,24250,Mansfield,22240,Sawmill Settlement,"-37.12192952017787, 146.36635168606207"
219,2,Vic,20740,Bass Coast,22294,Smiths Beach,"-38.50065216601172, 145.25497034208772"
220,2,Vic,25710,Nillumbik,22295,Smiths Gully,"-37.627060706428715, 145.28846019032892"
221,2,Vic,23270,Hume,22304,Somerton (Vic.),"-37.63464825118839, 144.95073855326353"
222,2,Vic,20260,Ararat,22353,Stavely,"-37.60804618453905, 142.62641637209938"
223,2,Vic,26810,Wellington,22359,Stockdale,"-37.82975580413445, 147.1827268508476"
224,2,Vic,21110,"Boroondara, Whitehorse",22399,Surrey Hills,"-37.82671758087048, 145.09817629781224"
225,2,Vic,21010,Benalla,22410,Swanpool,"-36.727024844654935, 145.9998076364989"
226,2,Vic,24850,Mitchell,22430,Tallarook,"-37.12797677622703, 145.13156129725922"
227,2,Vic,22490,Golden Plains,22479,Teesdale (Vic.),"-38.02365578763184, 144.05488126010192"
228,2,Vic,25490,Moyne,22502,The Sisters,"-38.183034433389025, 142.7851491823775"
229,2,Vic,25490,Moyne,22562,Tower Hill,"-38.32670378888373, 142.3578441710506"
230,2,Vic,20830,Baw Baw,22567,Trafalgar South,"-38.244050104505696, 146.15927349036204"
231,2,Vic,21010,Benalla,22616,Upper Lurg,"-36.585195312949566, 146.19000643169693"
232,2,Vic,25810,Northern Grampians,22649,Wal Wal,"-36.809857144111, 142.62115681118706"
233,2,Vic,22110,East Gippsland,22666,Walpa,"-37.79430316673299, 147.3940633695155"
234,2,Vic,22250,Gannawarra,22670,Wandella (Vic.),"-35.73717020086761, 143.823638054275"
235,2,Vic,25490,Moyne,22683,Wangoom,"-38.33120705378814, 142.58187849207758"
236,2,Vic,23430,Kingston,22720,Waterways,"-38.01475123981863, 145.13049098299152"
237,2,Vic,22750,Greater Geelong,22730,Waurn Ponds,"-38.198307534172706, 144.27852238400027"
238,2,Vic,20260,Ararat,22762,Westmere,"-37.676539219302704, 142.96721600150363"
239,2,Vic,24970,Monash,22766,Wheelers Hill,"-37.907580205452106, 145.18684420036257"
240,2,Vic,20260,Ararat,22781,Wickliffe,"-37.69726356501353, 142.71361957440857"
241,2,Vic,25490,Moyne,22787,Willatook,"-38.15108977113606, 142.22354469818373"
242,2,Vic,26490,Surf Coast,22803,Winchelsea South,"-38.32459315811727, 143.98915930906972"
243,2,Vic,24600,"Melbourne, Port Phillip, Stonnington",22805,Windsor (Vic.),"-37.85467542727679, 144.99320636439964"
244,2,Vic,24210,"Manningham, Maroondah, Nillumbik, Yarra Ranges",22825,Wonga Park,"-37.73559191553896, 145.26987455196493"
245,2,Vic,26260,Southern Grampians,22838,Woodhouse,"-37.800116076814255, 142.42024290291815"
246,2,Vic,20260,"Ararat, Moyne",22861,Woorndoo,"-37.88125156257071, 142.81442606869578"
247,2,Vic,22110,East Gippsland,22868,Wroxham,"-37.34155641114469, 149.48610196659453"
248,2,Vic,21370,Campaspe,22884,Wyuna (Vic.),"-36.20647713601387, 145.06721813622568"
249,2,Vic,21270,Buloke,22931,Yeungroon,"-36.3978202744578, 143.35436309131185"
250,2,Vic,21750,Colac Otway,22942,Yuulong,"-38.72595111093449, 143.3083680375279"
251,3,Qld,32270,Central Highlands,30046,Alsace,"-23.286714174543178, 149.29740896653533"
252,3,Qld,33220,Fraser Coast,30073,Aramara,"-25.602044630865223, 152.34838636172665"
253,3,Qld,32270,Central Highlands,30082,Arcturus,"-23.989322739503237, 148.33948294359314"
254,3,Qld,31820,Bundaberg,30106,Avenell Heights,"-24.889574617014535, 152.36789083556798"
255,3,Qld,34770,Mackay,30119,Bakers Creek (Qld),"-21.214243581210415, 149.15805109119609"
256,3,Qld,35760,North Burnett,30142,Bancroft,"-24.790846577938808, 151.27858944004106"
257,3,Qld,36720,Sunshine Coast,30205,Beerwah,"-26.85744170590794, 152.95561580390887"
258,3,Qld,34590,Logan,30210,Belivah,"-27.758205255846214, 153.17499139816974"
259,3,Qld,36630,South Burnett,30229,Benair,"-26.627990535420988, 151.69513911747956"
260,3,Qld,36910,Toowoomba,30246,Biddeston,"-27.55564079676319, 151.7326354971743"
261,3,Qld,34860,Maranoa,30254,Bindebango,"-27.623846031068243, 147.4344148594092"
262,3,Qld,30760,Blackall Tambo,30270,Blackall,"-24.585741381951138, 145.40543412035652"
263,3,Qld,36630,South Burnett,30272,Blackbutt (Qld),"-26.884677800330437, 152.104268823022"
264,3,Qld,36660,Southern Downs,30314,Bony Mountain,"-28.094204519281817, 151.84089394420138"
265,3,Qld,35010,Moreton Bay,30363,Bray Park (Qld),"-27.292418406181216, 152.9678665213451"
266,3,Qld,36510,Scenic Rim,30476,Cainbable,"-28.138941907706464, 153.09402795945957"
267,3,Qld,32260,Cassowary Coast,30503,Camp Creek (Qld),"-17.618562549261583, 145.9535609587205"
268,3,Qld,35760,North Burnett,30514,Cannindah,"-24.874905551066142, 151.2146239172446"
269,3,Qld,31000,Brisbane,30519,Cannon Hill,"-27.472423624557067, 153.0948309002898"
270,3,Qld,33980,Isaac,30541,Carmila,"-21.864658525980193, 149.37051467365086"
271,3,Qld,34580,Lockyer Valley,30547,Carpendale,"-27.586995828728085, 152.1525004634777"
272,3,Qld,33610,Goondiwindi,30573,Cement Mills,"-28.378809785079454, 151.5912492773035"
273,3,Qld,36910,Toowoomba,30574,Centenary Heights,"-27.58681964418003, 151.96248818600546"
274,3,Qld,34770,Mackay,30590,Chelona,"-21.258082492707643, 149.14166501641975"
275,3,Qld,36250,Redland,30622,Cleveland (Qld),"-27.532920851731923, 153.2672718478522"
276,3,Qld,32310,Charters Towers,30654,Columbia,"-20.04972456776835, 146.28149548713915"
277,3,Qld,36720,Sunshine Coast,30685,Cooloolabin,"-26.53779706254934, 152.89966690039537"
278,3,Qld,31820,Bundaberg,30695,Coonarr,"-24.969966639325875, 152.47236468225063"
279,3,Qld,31820,"Bundaberg, Burdekin, Cook, Gladstone, Livingstone, Mackay, Torres, Townsville, Whitsunday",30717,Coral Sea,"-18.213313374450276, 147.6485133524023"
280,3,Qld,32270,Central Highlands,30730,Cotherstone,"-22.7865579563203, 148.28113209057847"
281,3,Qld,36510,Scenic Rim,30733,Coulson,"-27.9624526997269, 152.7392250675493"
282,3,Qld,32810,Douglas,30735,Cow Bay,"-16.22342771469558, 145.43550224704686"
283,3,Qld,37010,Townsville,30771,Currajong,"-19.27555898023786, 146.77944806035214"
