,stateid,statename,cityid,cityname,suburbid,suburbname,geo_point
6805,1,NSW,15270,Mid-Western Regional,14034,Upper Bylong,"-32.495867077776374, 150.1832763321902"
6806,1,NSW,14950,Lockhart,14071,Urangeline,"-35.432525513163, 146.59206717989127"
6807,1,NSW,16950,Shoalhaven,14093,Vincentia,"-35.07426276492686, 150.67117159936467"
6808,1,NSW,15240,Mid-Coast,14105,Waitui,"-31.684639711710677, 152.54266357408017"
6809,1,NSW,10550,Bega Valley,14120,Wallaga Lake,"-36.37099346496943, 150.06088495943902"
6810,1,NSW,12160,Cootamundra-Gundagai Regional,14131,Wallendbeen,"-34.51410666832266, 148.1189304182529"
6811,1,NSW,12000,Coolamon,14133,Walleroobie,"-34.483964455604294, 147.03032343697828"
6812,1,NSW,14220,Inverell,14147,Wandera,"-29.669643166755904, 151.1474740315792"
6813,1,NSW,15240,Mid-Coast,14150,Wang Wauk,"-32.14260177207053, 152.2815317312768"
6814,1,NSW,15240,Mid-Coast,14216,Waukivory,"-32.107180365678374, 152.04388209355548"
6815,1,NSW,13010,"Glen Innes Severn, Inverell",14237,Wellingrove,"-29.561928873489947, 151.51171999727035"
6816,1,NSW,14400,Kiama,14250,Werri Beach,"-34.73319614068223, 150.83451150317072"
6817,1,NSW,11650,Central Coast,14261,West Gosford,"-33.42105176067385, 151.3232612909487"
6818,1,NSW,17080,Snowy Valleys,14275,Westdale (Snowy Valleys - NSW),"-35.56986136964194, 147.88371648614262"
6819,1,NSW,10750,Blacktown,14319,Willmot,"-33.7240597223331, 150.79279372424855"
6820,1,NSW,17400,Tenterfield,14325,Willsons Downfall,"-28.739881686941526, 152.116562928971"
6821,1,NSW,13800,Hawkesbury,14344,Windsor Downs,"-33.655942352077, 150.80824383843995"
6822,1,NSW,12700,Dungog,14357,Wirragulla,"-32.45415063936318, 151.7352700393251"
6823,1,NSW,11730,Clarence Valley,14402,Woodford Island,"-29.513962827907342, 153.1344672059174"
6824,1,NSW,11350,"Byron, Tweed",14436,Wooyung,"-28.452713331369196, 153.53827345837152"
6825,1,NSW,16490,Queanbeyan-Palerang Regional,14451,Wyanbene,"-35.789406274382294, 149.67505315478272"
6826,1,NSW,17000,Singleton,14459,Wylies Flat,"-32.58272557242486, 151.1220538112658"
6827,1,NSW,17750,Wagga Wagga,14491,Yarragundry,"-35.121447557433115, 147.2216741515733"
6828,1,NSW,14650,Lake Macquarie,14505,Yarrawonga Park,"-33.10025480616945, 151.54682273137246"
6829,1,NSW,14300,Junee,14513,Yathella,"-34.91654818753796, 147.42649158263302"
6830,1,NSW,10470,Bathurst Regional,14531,Yetholme,"-33.4320288810175, 149.81300263475916"
6831,2,Vic,25060,Moonee Valley,20003,Aberfeldie,"-37.75970860533644, 144.89756806741838"
6832,2,Vic,21670,Central Goldfields,20009,Adelaide Lead,"-37.08154384066159, 143.66839185543972"
6833,2,Vic,21450,Cardinia,20091,Avonsleigh,"-37.91183782475499, 145.48432414156824"
6834,2,Vic,21370,Campaspe,20125,Bamawm,"-36.261222365580565, 144.62868032477874"
6835,2,Vic,21750,Colac Otway,20161,Barwon Downs,"-38.50818733185537, 143.78816672373222"
6836,2,Vic,22310,Glen Eira,20215,Bentleigh East,"-37.92208386324244, 145.06700237097843"
6837,2,Vic,21270,Buloke,20221,Berriwillock,"-35.64419866246217, 142.9675017008538"
6838,2,Vic,22620,Greater Bendigo,20235,Big Hill (Greater Bendigo - Vic.),"-36.83527597202803, 144.22952888562864"
6839,2,Vic,21750,"Colac Otway, Surf Coast",20247,Birregurra,"-38.333617365459624, 143.82199441006375"
6840,2,Vic,20260,"Ararat, Northern Grampians",20250,Black Range (Vic.),"-37.13483666071384, 142.76400461812582"
6841,2,Vic,25340,Mornington Peninsula,20280,Boneo,"-38.40951689181505, 144.90362132140726"
6842,2,Vic,27630,Yarriambiack,20291,Boolite,"-36.34701562456058, 142.68414309654122"
6843,2,Vic,23670,Knox,20304,Boronia,"-37.856106320226225, 145.28609693773166"
6844,2,Vic,21830,Corangamite,20306,Bostocks Creek,"-38.30462659367055, 143.1261501644662"
6845,2,Vic,21610,Casey,20307,Botanic Ridge,"-38.14155952995705, 145.26557029287926"
6846,2,Vic,26980,Whitehorse,20314,Box Hill (Vic.),"-37.821512019087464, 145.1260800422159"
